POP100,GEOID,CENTLAT,AREAWATER,STATE,BASENAME,OID,LSADC,FUNCSTAT,INTPTLAT,NAME,OBJECTID,TRACT,CENTLON,HU100,AREALAND,INTPTLON,MTFCC,UR,COUNTY
4097,24001000200,+39.6257218,3080200,24,2,20790762624028,CT,S,+39.6123134,Census Tract 2,27367,000200,-078.6878326,1425,124505956,-078.7031037,G5020,M,001
3684,24001002200,+39.4862352,1043712,24,22,20790762624213,CT,S,+39.4980725,Census Tract 22,27031,002200,-078.9941248,1778,60150344,-078.9858124,G5020,M,001
12283,24003730102,+39.1799298,4203009,24,7301.02,2079015484997092,CT,S,+39.1801207,Census Tract 7301.02,29315,730102,-076.5524621,4813,19456267,-076.5569878,G5020,U,003
12283,24003730102,+39.1799298,4203009,24,7301.02,2079015484997092,CT,S,+39.1801207,Census Tract 7301.02,29315,730102,-076.5524621,4813,19456267,-076.5569878,G5020,U,003
4653,24005451803,+39.3286230,1168179,24,4518.03,20790271414184,CT,S,+39.3251943,Census Tract 4518.03,55950,451803,-076.3774306,1998,3662472,-076.3726499,G5020,M,005
3868,24510240100,+39.2655145,2352887,24,2401,20790165683711,CT,S,+39.2650952,Census Tract 2401,62561,240100,-076.5868837,2155,1906851,-076.5874454,G5020,U,510
3475,24005492600,+39.4184095,0,24,4926,207903716987398,CT,S,+39.4110303,Census Tract 4926,46640,492600,-076.5255497,1568,4184345,-076.5318285,G5020,M,005
2048,24510250301,+39.2625888,311271,24,2503.01,20790165683672,CT,S,+39.2623356,Census Tract 2503.01,23174,250301,-076.6352199,977,1891899,-076.6349462,G5020,U,510
2256,24510260404,+39.3000662,0,24,2604.04,20790165683560,CT,S,+39.3000662,Census Tract 2604.04,57204,260404,-076.5528630,776,4467107,-076.5528630,G5020,U,510
2723,24510240400,+39.2632431,965344,24,2404,20790165683684,CT,S,+39.2647359,Census Tract 2404,18399,240400,-076.6035167,1423,1180402,-076.5991303,G5020,U,510
2177,24510210100,+39.2764921,192308,24,2101,20790165683662,CT,S,+39.2766193,Census Tract 2101,63688,210100,-076.6267252,1216,1288245,-076.6265676,G5020,U,510
