POP100,GEOID,CENTLAT,AREAWATER,STATE,BASENAME,OID,LSADC,FUNCSTAT,INTPTLAT,NAME,OBJECTID,TRACT,CENTLON,HU100,AREALAND,INTPTLON,MTFCC,UR,COUNTY,error,lat,lng
3494.0,36093032502.0,42.8810426,69888.0,36.0,325.02,20790739509706.0,CT,S,42.881277,Census Tract 325.02,1248.0,32502.0,-73.9131021,1320.0,7206301.0,-73.9116766,G5020,M,93.0,,,
6075.0,25023544200.0,41.8579318,4840087.0,25.0,5442.0,20790213681704.0,CT,S,41.8586967,Census Tract 5442,14311.0,544200.0,-70.7442592,2689.0,69485830.0,-70.745874,G5020,M,23.0,,,
5862.0,25021414100.0,42.119699,338878.0,25.0,4141.0,20790264719300.0,CT,S,42.1200933,Census Tract 4141,78811.0,414100.0,-71.2050439,2145.0,28397869.0,-71.2036931,G5020,M,21.0,,,
6876.0,44003020903.0,41.6330075,129489.0,44.0,209.03,20790226861815.0,CT,S,41.6331838,Census Tract 209.03,59390.0,20903.0,-71.5173783,2301.0,31664883.0,-71.524229,G5020,M,3.0,,,
7319.0,34035051000.0,40.5629486,620006.0,34.0,510.0,20790311658857.0,CT,S,40.5635512,Census Tract 510,83128.0,51000.0,-74.5716894,2702.0,11276319.0,-74.5704087,G5020,U,35.0,,,
6545.0,36087011200.0,41.1017516,558710.0,36.0,112.0,20790697050080.0,CT,S,41.1033295,Census Tract 112,14248.0,11200.0,-73.9781954,2243.0,11147926.0,-73.9790871,G5020,U,87.0,,,
4621.0,36071011702.0,41.3323597,373606.0,36.0,117.02,207903716982266.0,CT,S,41.3240758,Census Tract 117.02,13528.0,11702.0,-74.5376752,1659.0,59572166.0,-74.5411792,G5020,R,71.0,,,
1618.0,37171930902.0,36.2912161,515638.0,37.0,9309.02,207903716731377.0,CT,S,36.3014527,Census Tract 9309.02,72967.0,930902.0,-80.8172505,762.0,43328284.0,-80.8227531,G5020,R,171.0,,,
5463.0,37197050101.0,36.1906478,2019445.0,37.0,501.01,20790336382886.0,CT,S,36.1948359,Census Tract 501.01,15984.0,50101.0,-80.4976538,2524.0,145750446.0,-80.4832169,G5020,R,197.0,,,
3669.0,37197050504.0,36.1336949,442532.0,37.0,505.04,2079015487800525.0,CT,S,36.1336258,Census Tract 505.04,11016.0,50504.0,-80.634178,1567.0,48656681.0,-80.6337373,G5020,R,197.0,,,
5526.0,34021004314.0,40.3138584,310559.0,34.0,43.14,2079015682286939.0,CT,S,40.3136898,Census Tract 43.14,28997.0,4314.0,-74.6523837,2257.0,15702645.0,-74.6545735,G5020,M,21.0,,,
