POP100,GEOID,CENTLAT,AREAWATER,STATE,BASENAME,OID,LSADC,FUNCSTAT,INTPTLAT,NAME,OBJECTID,TRACT,CENTLON,HU100,AREALAND,INTPTLON,MTFCC,UR,COUNTY,error,lat,lng
4356.0,06037701602,+34.0350094,0.0,06,7016.02,207901115297578,CT,S,+34.0350094,Census Tract 7016.02,44583.0,701602,-118.4754273,2174.0,660538.0,-118.4754273,G5020,U,037,,,
3741.0,26033970300,+46.4996856,2563183.0,26,9703,20790708937457,CT,S,+46.4999579,Census Tract 9703,32928.0,970300,-084.3578467,1571.0,3267870.0,-084.3567889,G5020,M,033,,,
5726.0,27109001703,+44.0951158,0.0,27,17.03,20790414924259,CT,S,+44.0951158,Census Tract 17.03,62174.0,001703,-092.4833752,2496.0,13946129.0,-092.4833752,G5020,M,109,,,
4173.0,04021001200,+32.9085579,3967910.0,04,12,207901260231950,CT,S,+32.9049354,Census Tract 12,41672.0,001200,-111.5626943,1994.0,231005234.0,-111.5646675,G5020,R,021,,,
4378.0,51775010300,+37.2814977,151733.0,51,103,207901168506766,CT,S,+37.2819254,Census Tract 103,64015.0,010300,-080.0480290,2190.0,9501132.0,-080.0484803,G5020,U,775,,,
2027.0,37067002904,+36.2168935,80200.0,37,29.04,207903717165488,CT,S,+36.2106829,Census Tract 29.04,65143.0,002904,-080.1824135,992.0,36354119.0,-080.1734388,G5020,M,067,,,
3489.0,25009204400,+42.5309545,11441108.0,25,2044,20790206510507,CT,S,+42.5251979,Census Tract 2044,51200.0,204400,-070.8372288,1975.0,1904883.0,-070.8128780,G5020,M,009,,,
4425.0,41047001000,+44.9084867,28890.0,41,10,20790446456822,CT,S,+44.9068927,Census Tract 10,23917.0,001000,-123.0077415,1815.0,13766788.0,-123.0010744,G5020,U,047,,,
4378.0,51775010300,+37.2814977,151733.0,51,103,207901168506766,CT,S,+37.2819254,Census Tract 103,64015.0,010300,-080.0480290,2190.0,9501132.0,-080.0484803,G5020,U,775,,,
4378.0,51775010300,+37.2814977,151733.0,51,103,207901168506766,CT,S,+37.2819254,Census Tract 103,64015.0,010300,-080.0480290,2190.0,9501132.0,-080.0484803,G5020,U,775,,,
