POP100,GEOID,CENTLAT,AREAWATER,STATE,BASENAME,OID,LSADC,FUNCSTAT,INTPTLAT,NAME,OBJECTID,TRACT,CENTLON,HU100,AREALAND,INTPTLON,MTFCC,UR,COUNTY
5552,06071009128,+34.5176229,0,06,91.28,2079015504322099,CT,S,+34.5176229,Census Tract 91.28,70557,009128,-117.3818852,1503,7785380,-117.3818852,G5020,M,071
5552,06071009128,+34.5176229,0,06,91.28,2079015504322099,CT,S,+34.5176229,Census Tract 91.28,70557,009128,-117.3818852,1503,7785380,-117.3818852,G5020,M,071
5552,06071009128,+34.5176229,0,06,91.28,2079015504322099,CT,S,+34.5176229,Census Tract 91.28,70557,009128,-117.3818852,1503,7785380,-117.3818852,G5020,M,071
2488,06071010039,+34.4828981,20239,06,100.39,2079015504322428,CT,S,+34.4829955,Census Tract 100.39,71043,010039,-117.2602496,1103,3323491,-117.2598774,G5020,M,071
1865,48469000301,+28.7730424,0,48,3.01,20790381300498,CT,S,+28.7730424,Census Tract 3.01,38096,000301,-096.9983456,806,11165194,-096.9983456,G5020,M,469
1611,26131970100,+46.6268477,24343107,26,9701,20790308480835,CT,S,+46.6260026,Census Tract 9701,17096,970100,-089.1084588,1648,1565468489,-089.0903356,G5020,R,131
3896,48469001700,+28.6833788,2748137,48,17,20790381300817,CT,S,+28.6840296,Census Tract 17,76946,001700,-096.9157066,1622,228175291,-096.9185137,G5020,M,469
3896,48469001700,+28.6833788,2748137,48,17,20790381300817,CT,S,+28.6840296,Census Tract 17,76946,001700,-096.9157066,1622,228175291,-096.9185137,G5020,M,469
2557,06029006012,+35.0284337,196833,06,60.12,2079015504612075,CT,S,+35.0288241,Census Tract 60.12,16434,006012,-118.4097006,1152,573538703,-118.4085856,G5020,M,029
3552,36011040700,+42.8883220,6719485,36,407,20790708092751,CT,S,+42.8937652,Census Tract 407,16752,040700,-076.4940204,1729,54082299,-076.4932834,G5020,M,011
5537,08001008401,+39.8690278,3673373,08,84.01,20790700477765,CT,S,+39.8695550,Census Tract 84.01,54399,008401,-104.5129247,1963,497963981,-104.5174306,G5020,R,001
1690,19047070100,+42.1096973,204769,19,701,20790346525234,CT,S,+42.1119711,Census Tract 701,57675,070100,-095.2032575,806,421959996,-095.1973835,G5020,R,047
4599,13075960400,+31.0707682,4015088,13,9604,2079050572520,CT,S,+31.0660194,Census Tract 9604,23634,960400,-083.4193208,1914,198530729,-083.4150817,G5020,M,075
2653,24019970100,+38.5598160,8562069,24,9701,20790153159969,CT,S,+38.5600597,Census Tract 9701,54880,970100,-075.7996372,1250,240966577,-075.7977605,G5020,R,019
2750,19127950100,+42.1342795,240617,19,9501,20790494794964,CT,S,+42.1342123,Census Tract 9501,63348,950100,-092.8906033,1240,367969312,-092.8891013,G5020,R,127
3501,72147950600,+18.1331673,30513575,72,9506,2079094763371,CT,S,+18.1375816,Census Tract 9506,25312,950600,-065.3721175,2560,64871363,-065.3793319,G5020,M,147
2051,02198000200,+55.5074937,81823451,02,2,2079051388109,CT,S,+55.3969895,Census Tract 2,183,000200,-133.0147589,1044,338370512,-132.9435505,G5020,R,198
2333,17117956200,+39.4387825,1966951,17,9562,20790355617032,CT,S,+39.4411182,Census Tract 9562,62634,956200,-090.0189160,1119,437440820,-090.0233133,G5020,R,117
1918,08009964700,+37.4344625,4960434,08,9647,20790100112780,CT,S,+37.4208335,Census Tract 9647,69859,964700,-102.6118523,1014,1326799774,-102.6053111,G5020,R,009
5274,48061012511,+26.0467949,1959269,48,125.11,2079015692404371,CT,S,+26.0514450,Census Tract 125.11,7816,012511,-097.6131680,1524,51817998,-097.6129114,G5020,M,061
2203,36105952100,+41.7596555,1727602,36,9521,20790737116011,CT,S,+41.7549353,Census Tract 9521,6804,952100,-075.0035570,1458,90378322,-075.0003626,G5020,R,105
2203,36105952100,+41.7596555,1727602,36,9521,20790737116011,CT,S,+41.7549353,Census Tract 9521,6804,952100,-075.0035570,1458,90378322,-075.0003626,G5020,R,105
2203,36105952100,+41.7596555,1727602,36,9521,20790737116011,CT,S,+41.7549353,Census Tract 9521,6804,952100,-075.0035570,1458,90378322,-075.0003626,G5020,R,105
2203,36105952100,+41.7596555,1727602,36,9521,20790737116011,CT,S,+41.7549353,Census Tract 9521,6804,952100,-075.0035570,1458,90378322,-075.0003626,G5020,R,105
4582,48439113108,+32.7700666,17497,48,1131.08,207901921450437,CT,S,+32.7684903,Census Tract 1131.08,73275,113108,-097.1364644,1811,5527505,-097.1330818,G5020,M,439
2703,19137960400,+40.9448633,1208136,19,9604,20790364009192,CT,S,+40.9453550,Census Tract 9604,79080,960400,-095.1599611,1247,369405846,-095.1598585,G5020,R,137
4543,06037900508,+34.6789127,11929,06,9005.08,207903717303436,CT,S,+34.6789817,Census Tract 9005.08,24454,900508,-118.0679579,1217,3974231,-118.0721979,G5020,M,037
1267,45061920600,+34.0395063,12319,45,9206,207903717494763,CT,S,+34.0347695,Census Tract 9206,73859,920600,-080.1095417,679,179782599,-080.1011033,G5020,R,061
6557,34011040400,+39.4975399,1449,34,404,20790611104756,CT,S,+39.4974712,Census Tract 404,55547,040400,-075.0222173,2313,5290442,-075.0228487,G5020,U,011
4057,34011041001,+39.4257306,366181,34,410.01,2079015692397153,CT,S,+39.4292962,Census Tract 410.01,3068,041001,-074.9512025,1718,59214996,-074.9566047,G5020,M,011
3394,06079010302,+35.5984393,13838,06,103.02,2079015482489053,CT,S,+35.6228478,Census Tract 103.02,15753,010302,-120.6102142,1484,94523946,-120.5895083,G5020,M,079
5122,19011960300,+42.1596400,576277,19,9603,20790156777283,CT,S,+42.1596738,Census Tract 9603,70595,960300,-092.0205361,2305,30195167,-092.0211328,G5020,M,011
2763,55103970100,+43.5095124,245377,55,9701,20790693655059,CT,S,+43.5041364,Census Tract 9701,58792,970100,-090.4230286,1398,376613104,-090.4176339,G5020,R,103
4259,37025041701,+35.3980800,0,37,417.01,207903717623545,CT,S,+35.3980800,Census Tract 417.01,541,041701,-080.4047449,1739,73024922,-080.4047449,G5020,R,025
2102,37051003106,+34.9374615,16836,37,31.06,2079015672789058,CT,S,+34.9340937,Census Tract 31.06,59201,003106,-078.9481136,881,11293344,-078.9513522,G5020,M,051
