error,lat,lng,POP100,GEOID,CENTLAT,AREAWATER,STATE,BASENAME,OID,LSADC,FUNCSTAT,INTPTLAT,NAME,OBJECTID,TRACT,CENTLON,HU100,AREALAND,INTPTLON,MTFCC,UR,COUNTY
400 Client Error:  for url: https://geocoding.geo.census.gov/geocoder/geographies/coordinates?x=Longitude+of+award%2Fproject+place+of+performance.&y=Latitude+of+award%2Fproject+place+of+performance.&benchmark=Public_AR_Census2020&vintage=Census2020_Census2020&format=json,Latitude of award/project place of performance.,Longitude of award/project place of performance.,,,,,,,,,,,,,,,,,,,,
,,,4796.0,17021959000.0,39.441237,4022030.0,17.0,9590.0,20790146478848.0,CT,S,39.4403993,Census Tract 9590,83511.0,959000.0,-89.3872147,2119.0,491006889.0,-89.3885529,G5020,M,21.0
,,,978.0,2016000100.0,52.5933431,22079077527.0,2.0,1.0,2079045076554.0,CT,S,51.9594469,Census Tract 1,17011.0,100.0,-176.4549697,555.0,8556804421.0,178.338813,G5020,R,16.0
,,,5175.0,23005002700.0,43.7103886,128617.0,23.0,27.0,20790204251294.0,CT,S,43.7091145,Census Tract 27,48443.0,2700.0,-70.3620324,2289.0,12719361.0,-70.3652304,G5020,M,5.0
,,,1609.0,6067009332.0,38.4381518,0.0,6.0,93.32,207903717409948.0,CT,S,38.4381518,Census Tract 93.32,66858.0,9332.0,-121.339287,498.0,7870005.0,-121.339287,G5020,M,67.0
,,,3331.0,11001004703.0,38.9034762,0.0,11.0,47.03,2079015504267464.0,CT,S,38.9034762,Census Tract 47.03,20013.0,4703.0,-77.0170713,2356.0,124124.0,-77.0170713,G5020,U,1.0
,,,5810.0,25027726200.0,42.2450878,162237.0,25.0,7262.0,20790515417577.0,CT,S,42.2485746,Census Tract 7262,20854.0,726200.0,-71.9924754,2950.0,5463145.0,-71.9931302,G5020,U,27.0
,,,6439.0,4013723304.0,33.2228914,0.0,4.0,7233.04,207903717435681.0,CT,S,33.2228914,Census Tract 7233.04,75309.0,723304.0,-112.3881767,2543.0,747050745.0,-112.3881767,G5020,M,13.0
,,,4849.0,25027718100.0,42.3563172,9556292.0,25.0,7181.0,20790515417441.0,CT,S,42.3550489,Census Tract 7181,19824.0,718100.0,-71.7212393,1961.0,41588110.0,-71.716157,G5020,M,27.0
,,,5080.0,30027030100.0,47.26324,27675054.0,30.0,301.0,2079047403135.0,CT,S,47.2218156,Census Tract 301,46485.0,30100.0,-109.2241364,2673.0,11215856971.0,-109.2329562,G5020,M,27.0
,,,6113.0,44009050801.0,41.3835771,49973.0,44.0,508.01,2079019653491638.0,CT,S,41.3842755,Census Tract 508.01,28228.0,50801.0,-71.825937,3105.0,3572387.0,-71.8255428,G5020,U,9.0
,,,2170.0,20159967100.0,38.438397,600100.0,20.0,9671.0,2079052069483.0,CT,S,38.4366634,Census Tract 9671,79899.0,967100.0,-98.2023638,1094.0,892382302.0,-98.2038738,G5020,R,159.0
,,,4849.0,25027718100.0,42.3563172,9556292.0,25.0,7181.0,20790515417441.0,CT,S,42.3550489,Census Tract 7181,19824.0,718100.0,-71.7212393,1961.0,41588110.0,-71.716157,G5020,M,27.0
,,,3333.0,9007541401.0,41.572313,185298.0,9.0,5414.01,207903716548562.0,CT,S,41.5732605,Census Tract 5414.01,76705.0,541401.0,-72.7273089,1248.0,22388715.0,-72.7287676,G5020,M,7.0
,,,4580.0,51029930202.0,37.5064174,3236253.0,51.0,9302.02,207903695965155.0,CT,S,37.5009543,Census Tract 9302.02,76316.0,930202.0,-78.619562,2222.0,642221692.0,-78.6274462,G5020,R,29.0
,,,3274.0,32015000302.0,39.8341573,538357.0,32.0,3.02,2079015504618693.0,CT,S,39.8011327,Census Tract 3.02,28646.0,302.0,-117.063822,1542.0,12904294061.0,-117.0300619,G5020,R,15.0
,,,866.0,26163531900.0,42.3902305,0.0,26.0,5319.0,2079056212999.0,CT,S,42.3902305,Census Tract 5319,22896.0,531900.0,-83.1062981,527.0,707420.0,-83.1062981,G5020,U,163.0
,,,5580.0,49039972300.0,39.2285443,22463203.0,49.0,9723.0,20790191442739.0,CT,S,39.2282925,Census Tract 9723,40635.0,972300.0,-111.8546275,1378.0,943267584.0,-111.8534084,G5020,R,39.0
,,,4319.0,9001021200.0,41.0745889,0.0,9.0,212.0,20790698078010.0,CT,S,41.0745889,Census Tract 212,49568.0,21200.0,-73.5413564,1807.0,2399974.0,-73.5413564,G5020,U,1.0
,,,2718.0,45091061505.0,34.9528608,651978.0,45.0,615.05,2079015503875853.0,CT,S,34.9526958,Census Tract 615.05,2819.0,61505.0,-81.2305256,990.0,64219183.0,-81.2284531,G5020,M,91.0
,,,5809.0,21155970700.0,37.5328219,2127395.0,21.0,9707.0,20790115120807.0,CT,S,37.5442451,Census Tract 9707,49969.0,970700.0,-85.2230875,2467.0,189834775.0,-85.2255656,G5020,M,155.0
,,,1496.0,28047000600.0,30.3891897,5913608.0,28.0,6.0,2079093359671.0,CT,S,30.394776,Census Tract 6,52130.0,600.0,-88.9133062,979.0,2124191.0,-88.9152214,G5020,U,47.0
,,,1638.0,6037261104.0,34.1105327,151199.0,6.0,2611.04,2079015902970522.0,CT,S,34.1126013,Census Tract 2611.04,12971.0,261104.0,-118.4074693,782.0,4446940.0,-118.4072679,G5020,U,37.0
,,,5069.0,37071030902.0,35.3084175,50563.0,37.0,309.02,207903717544903.0,CT,S,35.3079782,Census Tract 309.02,85214.0,30902.0,-81.1596585,1927.0,8397284.0,-81.1592915,G5020,M,71.0
,,,4133.0,4001945001.0,35.7044673,39384.0,4.0,9450.01,207903717176237.0,CT,S,35.706181,Census Tract 9450.01,57377.0,945001.0,-109.1333751,1378.0,109611704.0,-109.1164586,G5020,R,1.0
,,,3042.0,51760041300.0,37.5349083,611067.0,51.0,413.0,20790328248877.0,CT,S,37.5353594,Census Tract 413,33447.0,41300.0,-77.4643151,1484.0,2610167.0,-77.4604005,G5020,U,760.0
,,,2439.0,39155933800.0,41.2416817,0.0,39.0,9338.0,207903714711742.0,CT,S,41.2416817,Census Tract 9338,31322.0,933800.0,-80.8152853,1178.0,1888408.0,-80.8152853,G5020,U,155.0
