STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,GEOID_2020,COUNTY_x,StateDesc,STATEABBR,LOCATION,E_TOTPOP,M_TOTPOP,E_DAYPOP,SPL_EJI,RPL_EJI,SPL_SER,RPL_SER,SPL_EJI_CBM,RPL_EJI_CBM,E_MINRTY,EPL_MINRTY,SPL_SVM_DOM1,RPL_SVM_DOM1,E_POV200,EPL_POV200,E_NOHSDP,EPL_NOHSDP,E_UNEMP,EPL_UNEMP,E_RENTER,EPL_RENTER,E_HOUBDN,EPL_HOUBDN,E_UNINSUR,EPL_UNINSUR,E_NOINT,EPL_NOINT,SPL_SVM_DOM2,RPL_SVM_DOM2,E_AGE65,EPL_AGE65,E_AGE17,EPL_AGE17,E_DISABL,EPL_DISABL,E_LIMENG,EPL_LIMENG,SPL_SVM_DOM3,RPL_SVM_DOM3,E_MOBILE,EPL_MOBILE,E_GROUPQ,EPL_GROUPQ,SPL_SVM_DOM4,RPL_SVM_DOM4,SPL_SVM,RPL_SVM,E_OZONE,EPL_OZONE,E_PM,EPL_PM,E_DSLPM,EPL_DSLPM,E_TOTCR,EPL_TOTCR,SPL_EBM_DOM1,RPL_EBM_DOM1,E_NPL,EPL_NPL,E_TRI,EPL_TRI,E_TSD,EPL_TSD,E_RMP,EPL_RMP,E_COAL,EPL_COAL,E_LEAD,EPL_LEAD,SPL_EBM_DOM2,RPL_EBM_DOM2,E_PARK,EPL_PARK,E_HOUAGE,EPL_HOUAGE,E_WLKIND,EPL_WLKIND,SPL_EBM_DOM3,RPL_EBM_DOM3,E_RAIL,EPL_RAIL,E_ROAD,EPL_ROAD,E_AIRPRT,EPL_AIRPRT,SPL_EBM_DOM4,RPL_EBM_DOM4,E_IMPWTR,EPL_IMPWTR,F_IMPWTR,SPL_EBM_DOM5,RPL_EBM_DOM5,SPL_EBM,RPL_EBM,E_ASTHMA,EPL_ASTHMA,F_ASTHMA,E_CANCER,EPL_CANCER,F_CANCER,E_CHD,EPL_CHD,F_CHD,E_MHLTH,EPL_MHLTH,F_MHLTH,E_DIABETES,EPL_DIABETES,F_DIABETES,F_HVM,RPL_HVM,E_NEHD,EPL_NEHD,SPL_CBM_DOM1,RPL_CBM_DOM1,E_BURN,EPL_BURN,E_SMOKE,EPL_SMOKE,SPL_CBM_DOM2,RPL_CBM_DOM2,E_CFLD,EPL_CFLD,F_CFLD,E_DRGT,EPL_DRGT,F_DRGT,E_HRCN,EPL_HRCN,F_HRCN,E_RFLD,EPL_RFLD,F_RFLD,E_SWND,EPL_SWND,F_SWND,E_TRND,EPL_TRND,F_TRND,SPL_CBM_DOM3,RPL_CBM_DOM3,SPL_CBM,RPL_CBM,AFAM,E_AFAM,HISP,E_HISP,ASIAN,E_ASIAN,AIAN,E_AIAN,NHPI,E_NHPI,TWOMORE,E_TWOMORE,OTHERRACE,E_OTHERRACE,Tribe_PCT_Tract,Tribe_Names,Tribe_Flag,Unnamed: 0.1,Unnamed: 0,plant_name,Plant Code,State,Sector Name,Prime Movers,Fuel Types,Primary Technology,withdrawal_volume_million_gallons,discharge_volume_million_gallons,consumption_volume_million_gallons,energy_category,map_link,longitude,latitude,STATE,COUNTY_y,TRACT,contains_energy_source,Technology_Category,Category_Number,fossil_fuels,renewables,energy_category_numeric,IntPtLat,IntPtLon,Band,distance_to_plant,within_one_km,within_5_km,within_10_km,within_5_km_bands,county,natural_gas,within_10_km_bands
24.0,3.0,740103.0,140000US24003740103,24003740103.0,24003740103.0,Anne Arundel County,Maryland,MD,Census Tract 7401.03; Anne Arundel County; Maryland,8912.0,735.0,4122.0,1.186,0.445,1.186,0.6578,1.8925,0.5496,55.4,0.7013,0.7013,0.7013,5.3747,0.0303,4.8,0.2764,5.0,0.5426,6.2,0.0571,5.9,0.0114,5.5,0.406,3.6,0.1501,1.4739,0.091,16.3,0.4966,18.0,0.2797,12.1,0.4601,1.1,0.4781,1.7145,0.28,6.5,0.7344,0.2,0.443,1.1774,0.7362,5.0671,0.2213,0.913,0.805,0.0,0.0,0.3398,0.7554,40.0,0.9248,2.4852,0.8416,20.1466,0.9635,35.1208,0.6061,74.4875,0.7571,0.0,0.0,0.0,0.0,0.0,0.0,2.3267,0.8599,100.0,0.5514,26.9,0.214,9.0625,0.4798,1.2452,0.1517,66.2554,0.6639,82.525,0.4841,22.9488,0.9316,2.0796,0.9531,1.0,0.8863,0.0,0.8863,0.8863,9.023,0.9647,10.5,0.4749,0.0,6.9,0.3563,0.0,5.3,0.1962,0.0,14.7,0.2402,0.0,11.1,0.3861,0.0,0.0,0.0,8.6,0.2039,0.2039,0.2039,0.0,0.0,6.1,0.2735,0.2735,0.2713,0.0,0.0,0.0,6.0455,0.3257,9.0,0.0935,0.6127,9.0,3.75,0.8048,9.0,7.4121,0.9528,9.0,0.0278,0.0,2.0,2.696,0.881,3.1734,0.7065,3097.0,34.8,394.0,4.4,729.0,8.2,0.0,0.0,0.0,0.0,683.0,7.7,31.0,0.3,0.0,-999,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0.0,39.143889,-76.71409,5,7.522807333672303,False,False,True,,Anne Arundel County,False,5.0
24.0,3.0,740104.0,140000US24003740104,24003740104.0,24003740104.0,Anne Arundel County,Maryland,MD,Census Tract 7401.04; Anne Arundel County; Maryland,8849.0,792.0,2864.0,1.1378,0.4149,0.9378,0.4664,1.8404,0.5199,71.8,0.8034,0.8034,0.8034,19.6519,0.3197,5.5,0.322,8.1,0.7873,21.5,0.3572,21.9,0.4165,4.5,0.327,1.5,0.0547,2.5844,0.2932,9.8,0.1679,21.8,0.5103,9.8,0.2957,3.1,0.6798,1.6537,0.2405,0.0,0.0,0.0,0.0,0.0,0.0,5.0415,0.2179,0.913,0.805,0.0,0.0,0.3085,0.7008,30.0,0.4976,2.0034,0.6888,0.0,0.0,1.8326,0.3562,58.0186,0.7184,18.4704,0.8193,0.0,0.0,0.0,0.0,1.8939,0.7823,100.0,0.5514,12.7,0.1114,7.0903,0.6561,1.3189,0.1993,49.7151,0.607,25.7943,0.2591,0.0,0.0,0.8661,0.4019,1.0,0.8863,0.0,0.8863,0.8863,6.9686,0.7199,11.7,0.7893,1.0,5.3,0.1751,0.0,4.6,0.1038,0.0,17.0,0.5075,0.0,11.1,0.3861,0.0,1.0,0.2,8.6,0.2039,0.2039,0.2039,0.0,0.0,6.1,0.2735,0.2735,0.2713,0.0,0.0,0.0,5.7273,0.3153,9.0,0.0935,0.6127,9.0,3.75,0.8048,9.0,7.4121,0.9528,9.0,0.0278,0.0,2.0,2.6856,0.8776,3.163,0.7026,3895.0,44.0,1068.0,12.1,864.0,9.8,0.0,0.0,0.0,0.0,497.0,5.6,28.0,0.3,0.0,-999,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0.0,39.129985,-76.712871,5,8.108731674802668,False,False,True,,Anne Arundel County,False,5.0
24.0,3.0,740105.0,140000US24003740105,24003740105.0,24003740105.0,Anne Arundel County,Maryland,MD,Census Tract 7401.05; Anne Arundel County; Maryland,4371.0,822.0,1014.0,1.6039,0.6755,1.4039,0.7868,2.3164,0.7636,83.4,0.8686,0.8686,0.8686,22.0086,0.373,6.3,0.3726,6.0,0.6414,57.1,0.8102,33.0,0.7318,14.5,0.8248,5.7,0.2606,4.0144,0.6248,4.5,0.0302,27.4,0.8189,7.9,0.1699,3.3,0.6917,1.7107,0.2773,0.0,0.0,0.0,0.0,0.0,0.0,6.5937,0.4663,0.913,0.805,0.0,0.0,0.2995,0.6828,30.0,0.4976,1.9854,0.6825,0.0,0.0,67.9855,0.7206,99.9611,0.8419,99.5355,0.9773,0.0,0.0,0.0,0.0,2.5398,0.9126,100.0,0.5514,32.9,0.2653,3.75,0.9624,1.7791,0.6346,100.0,0.8112,99.1618,0.5816,0.0,0.0,1.3928,0.6939,1.0,0.8863,0.0,0.8863,0.8863,8.5834,0.9376,12.0,0.8415,1.0,4.2,0.0639,0.0,4.0,0.0573,0.0,18.2,0.6445,0.0,10.6,0.3217,0.0,1.0,0.2,9.2,0.2303,0.2303,0.2303,0.0,0.0,6.1,0.2735,0.2735,0.2713,0.0,0.0,0.0,5.7273,0.3153,9.0,0.0935,0.6127,9.0,3.75,0.8048,9.0,7.4121,0.9528,9.0,0.0,0.0,0.0,2.6856,0.8776,3.1894,0.7125,2663.0,60.9,564.0,12.9,157.0,3.6,0.0,0.0,0.0,0.0,218.0,5.0,42.0,1.0,0.0,-999,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0.0,39.118271,-76.703372,5,9.612200176991529,False,False,True,,Anne Arundel County,False,5.0
24.0,3.0,740106.0,140000US24003740106,24003740106.0,24003740106.0,Anne Arundel County,Maryland,MD,Census Tract 7401.06; Anne Arundel County; Maryland,3250.0,517.0,12044.0,1.0585,0.3659,1.0585,0.565,1.7815,0.4857,60.2,0.7337,0.7337,0.7337,7.7362,0.0653,8.2,0.4792,2.1,0.1819,45.3,0.7006,7.4,0.0209,0.3,0.0128,10.8,0.5149,1.9756,0.1724,10.3,0.1883,17.9,0.2746,9.0,0.24,0.0,0.0,0.7029,0.0178,0.0,0.0,7.2,0.9328,0.9328,0.6086,4.345,0.1293,0.913,0.805,0.0,0.0,0.374,0.803,40.0,0.9248,2.5328,0.8496,0.0,0.0,73.2239,0.737,78.6399,0.7668,7.7484,0.7662,0.0,0.0,0.0,0.0,2.27,0.8473,100.0,0.5514,32.4,0.2607,6.6111,0.7076,1.5197,0.3736,82.6803,0.719,99.4946,0.5886,0.0,0.0,1.3076,0.6317,0.995,0.8524,0.0,0.8524,0.8524,8.4825,0.9292,10.5,0.4749,0.0,5.9,0.2434,0.0,4.2,0.0701,0.0,15.4,0.3154,0.0,8.6,0.1142,0.0,0.0,0.0,8.2,0.1849,0.1849,0.1849,0.0,0.0,6.3,0.2945,0.2945,0.2919,0.0,0.0,0.0,6.0455,0.3257,9.0,0.095,0.6439,9.0,3.75,0.8048,9.0,7.4626,0.9606,9.0,0.0,0.0,0.0,2.735,0.8944,3.2144,0.723,1232.0,37.9,381.0,11.7,188.0,5.8,0.0,0.0,0.0,0.0,156.0,4.8,0.0,0.0,0.0,-999,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0.0,39.147417,-76.762203,4,2.3274711707650217,False,True,True,4.0,Anne Arundel County,False,4.0
24.0,3.0,740107.0,140000US24003740107,24003740107.0,24003740107.0,Anne Arundel County,Maryland,MD,Census Tract 7401.07; Anne Arundel County; Maryland,3768.0,1031.0,8944.0,0.8746,0.2532,0.8746,0.4149,1.5889,0.3762,71.3,0.8007,0.8007,0.8007,20.3025,0.3352,1.0,0.0412,4.8,0.5218,62.4,0.8477,9.6,0.0452,6.4,0.4713,0.0,0.0,2.2624,0.2265,4.1,0.0259,22.2,0.5366,3.8,0.0197,0.2,0.2539,0.8361,0.0259,0.0,0.0,0.0,0.0,0.0,0.0,3.8992,0.0838,0.913,0.805,0.0,0.0,0.3595,0.7841,40.0,0.9248,2.5139,0.8466,0.0,0.0,18.9729,0.5295,9.7153,0.5534,0.0,0.0,0.0,0.0,0.0,0.0,1.0829,0.4668,100.0,0.5514,0.0,0.0,10.1111,0.4171,0.9685,0.0389,14.4904,0.4421,100.0,0.6136,5.4243,0.8809,1.9366,0.9382,1.0,0.8863,0.0,0.8863,0.8863,7.3882,0.7908,10.2,0.3849,0.0,4.1,0.0557,0.0,3.1,0.0234,0.0,15.3,0.3045,0.0,8.4,0.101,0.0,0.0,0.0,8.2,0.1849,0.1849,0.1849,0.0,0.0,6.1,0.2735,0.2735,0.2713,0.0,0.0,0.0,6.0455,0.3257,9.0,0.0953,0.6441,9.0,3.75,0.8048,9.0,7.4727,0.9607,9.0,0.0,0.0,0.0,2.7353,0.8945,3.1937,0.7143,1971.0,52.3,179.0,4.8,375.0,10.0,0.0,0.0,0.0,0.0,161.0,4.3,0.0,0.0,0.0,-999,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0.0,39.159235,-76.736088,4,4.923429304574347,False,True,True,4.0,Anne Arundel County,False,4.0
24.0,3.0,740108.0,140000US24003740108,24003740108.0,24003740108.0,Anne Arundel County,Maryland,MD,Census Tract 7401.08; Anne Arundel County; Maryland,5871.0,696.0,3833.0,0.6073,0.12,0.6073,0.2132,0.8484,0.0611,46.8,0.6368,0.6368,0.6368,2.64,0.0069,9.1,0.5255,1.6,0.1242,42.2,0.6661,17.0,0.2373,3.9,0.2758,0.0,0.0,1.8358,0.1478,9.2,0.1452,18.0,0.2797,9.3,0.2606,0.5,0.3503,1.0358,0.0449,8.8,0.7729,0.1,0.3697,1.1426,0.7246,4.651,0.1657,0.913,0.805,0.0,0.0,0.354,0.7766,40.0,0.9248,2.5064,0.8453,0.0,0.0,0.0,0.0,40.5835,0.6725,0.0,0.0,0.0,0.0,0.0,0.0,0.6725,0.2963,100.0,0.5514,10.3,0.095,10.2222,0.4115,1.0579,0.0645,0.0,0.0,85.6543,0.4972,0.0,0.0,0.4972,0.1651,0.999,0.8805,0.0,0.8805,0.8805,5.6145,0.4416,10.2,0.3849,0.0,5.4,0.1869,0.0,3.8,0.0465,0.0,14.9,0.2609,0.0,8.7,0.1216,0.0,0.0,0.0,8.2,0.1849,0.1849,0.1849,0.0,0.0,6.1,0.2735,0.2735,0.2713,0.0,0.0,0.0,6.0455,0.3257,9.0,0.0935,0.6127,9.0,0.0,0.0,0.0,7.4121,0.9528,9.0,0.0,0.0,0.0,1.8912,0.5448,2.3496,0.2411,1193.0,20.3,716.0,12.2,635.0,10.8,0.0,0.0,0.0,0.0,206.0,3.5,0.0,0.0,0.0,-999,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0.0,39.145344,-76.738128,4,4.893784939002075,False,True,True,4.0,Anne Arundel County,False,4.0
24.0,3.0,740305.0,140000US24003740305,24003740305.0,24003740305.0,Anne Arundel County,Maryland,MD,Census Tract 7403.05; Anne Arundel County; Maryland,10870.0,902.0,4752.0,1.3547,0.5431,1.1547,0.6365,2.0655,0.6426,70.1,0.7942,0.7942,0.7942,12.9898,0.1712,2.8,0.1448,2.9,0.2837,42.6,0.6702,32.7,0.7255,4.4,0.3188,1.3,0.0472,2.3614,0.2464,6.3,0.0595,26.1,0.7635,10.3,0.3319,1.6,0.5499,1.7048,0.2734,0.0,0.0,0.0,0.0,0.0,0.0,4.8604,0.1926,0.913,0.805,0.0,0.0,0.3017,0.6873,30.0,0.4976,1.9899,0.684,8.4219,0.9512,97.0004,0.8267,99.6406,0.8367,64.239,0.9245,0.0,0.0,0.0,0.0,3.5391,0.9919,100.0,0.5514,12.2,0.1078,7.4167,0.6234,1.2826,0.1745,90.4013,0.748,91.371,0.5241,0.0,0.0,1.2721,0.609,1.0,0.8863,0.0,0.8863,0.8863,8.97,0.9621,11.6,0.7701,1.0,4.2,0.0639,0.0,3.3,0.0285,0.0,16.7,0.4718,0.0,9.1,0.1557,0.0,1.0,0.2,9.2,0.2303,0.2303,0.2303,0.0,0.0,6.2,0.2827,0.2827,0.2803,0.0,0.0,0.0,5.4091,0.302,9.0,0.0935,0.6127,9.0,3.75,0.8048,9.0,7.4121,0.9528,9.0,0.0,0.0,0.0,2.6723,0.8719,3.1853,0.7108,5914.0,54.4,703.0,6.5,497.0,4.6,0.0,0.0,0.0,0.0,456.0,4.2,53.0,0.5,0.0,-999,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0.0,39.105695,-76.713316,5,9.430348502519278,False,False,True,,Anne Arundel County,False,5.0
24.0,3.0,740400.0,140000US24003740400,24003740400.0,24003740400.0,Anne Arundel County,Maryland,MD,Census Tract 7404; Anne Arundel County; Maryland,4241.0,209.0,6294.0,,,,,,,76.0,0.8269,0.8269,0.8269,,,31.2,0.9463,,,,,,,,,,,,,3.6,0.0212,0.0,0.0,,,0.9,0.4413,,,,,100.0,0.9969,,,,,0.913,0.805,0.0,0.0,0.374,0.803,40.0,0.9248,2.5328,0.8496,0.0,0.0,100.0,0.8598,100.0,0.8446,9.9174,0.7808,0.0,0.0,0.0,0.0,2.4852,0.8985,100.0,0.5514,,,6.6111,0.7076,,,100.0,0.8112,100.0,0.6136,0.0,0.0,1.4248,0.7208,0.988,0.8383,0.0,0.8383,0.8383,,,11.2,0.6788,1.0,3.0,0.0145,0.0,4.8,0.1258,0.0,20.3,0.825,1.0,11.3,0.4116,0.0,2.0,0.4,8.2,0.1849,0.1849,0.1849,0.0,0.0,6.3,0.2945,0.2945,0.2919,0.0,0.0,0.0,5.7273,0.3153,9.0,0.0935,0.6127,9.0,3.75,0.8048,9.0,7.4121,0.9528,9.0,0.0,0.0,0.0,2.6856,0.8776,3.165,0.7032,2919.0,68.8,162.0,3.8,35.0,0.8,36.0,0.8,0.0,0.0,72.0,1.7,0.0,0.0,0.0,-999,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0.0,39.140028,-76.77645,4,2.0213123894552476,False,True,True,4.0,Anne Arundel County,False,4.0
24.0,3.0,740501.0,140000US24003740501,24003740501.0,24003740501.0,Anne Arundel County,Maryland,MD,Census Tract 7405.01; Anne Arundel County; Maryland,5649.0,1011.0,3452.0,1.1745,0.4379,0.9745,0.4965,2.0764,0.6484,84.2,0.873,0.873,0.873,16.9764,0.2596,4.4,0.2501,15.1,0.9585,37.5,0.6096,17.3,0.2482,7.4,0.5368,2.9,0.1158,2.9786,0.3802,3.9,0.0238,16.4,0.2058,6.2,0.0849,1.1,0.4781,0.7926,0.0231,0.0,0.0,0.0,0.0,0.0,0.0,4.6442,0.1649,0.822,0.7854,0.0,0.0,0.3461,0.7651,30.0,0.4976,2.0481,0.7093,0.0,0.0,54.9276,0.6776,79.6477,0.7692,52.4952,0.9044,0.0,0.0,0.0,0.0,2.3512,0.8657,100.0,0.5514,4.7,0.0518,11.0556,0.3662,0.9694,0.0391,65.3416,0.6609,100.0,0.6136,0.0,0.0,1.2745,0.6106,0.997,0.8593,0.0,0.8593,0.8593,7.5025,0.8096,11.9,0.8252,1.0,4.6,0.1007,0.0,3.8,0.0465,0.0,16.6,0.4592,0.0,10.4,0.2975,0.0,1.0,0.2,8.2,0.1849,0.1849,0.1849,0.0,0.0,6.3,0.2945,0.2945,0.2919,0.0,0.0,0.0,5.7273,0.3153,9.0,0.0935,0.6127,9.0,3.75,0.8048,9.0,7.4121,0.9528,9.0,0.0556,0.5198,9.0,3.2054,0.9717,3.6848,0.9019,3757.0,66.5,626.0,11.1,298.0,5.3,0.0,0.0,0.0,0.0,74.0,1.3,0.0,0.0,0.0,-999,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0.0,39.104281,-76.805154,5,6.544345863075692,False,False,True,,Anne Arundel County,False,5.0
24.0,3.0,740502.0,140000US24003740502,24003740502.0,24003740502.0,Anne Arundel County,Maryland,MD,Census Tract 7405.02; Anne Arundel County; Maryland,5123.0,688.0,2526.0,0.9824,0.3174,0.9824,0.503,1.6856,0.4307,79.6,0.8472,0.8472,0.8472,5.1532,0.0276,2.8,0.1448,4.6,0.4996,34.0,0.5627,16.6,0.2231,8.2,0.5842,0.9,0.0341,2.0761,0.1903,6.1,0.0555,20.3,0.4157,10.0,0.3104,6.0,0.7997,1.5813,0.2006,0.0,0.0,0.0,0.0,0.0,0.0,4.5046,0.1482,0.822,0.7854,0.0,0.0,0.3335,0.7454,30.0,0.4976,2.0284,0.6986,0.0,0.0,77.9139,0.7532,95.0191,0.8117,41.8268,0.8843,0.0,0.0,0.0,0.0,2.4492,0.8892,100.0,0.5514,4.4,0.0493,11.0069,0.3673,0.968,0.0388,93.867,0.7628,100.0,0.6136,0.0,0.0,1.3764,0.6811,0.99,0.8414,0.0,0.8414,0.8414,7.6634,0.8342,10.9,0.595,0.0,5.1,0.153,0.0,3.8,0.0465,0.0,14.1,0.1832,0.0,10.0,0.2501,0.0,0.0,0.0,8.2,0.1849,0.1849,0.1849,0.0,0.0,6.3,0.2945,0.2945,0.2919,0.0,0.0,0.0,5.7273,0.3153,9.0,0.0935,0.6127,9.0,3.75,0.8048,9.0,7.4121,0.9528,9.0,0.0,0.0,0.0,2.6856,0.8776,3.165,0.7032,2744.0,53.6,452.0,8.8,548.0,10.7,0.0,0.0,0.0,0.0,204.0,4.0,128.0,2.5,0.0,-999,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0.0,39.111258,-76.80488,5,5.83616146228332,False,False,True,,Anne Arundel County,False,5.0
