,plant_name,Plant Code,State,Sector Name,Prime Movers,Fuel Types,Primary Technology,withdrawal_volume_million_gallons,discharge_volume_million_gallons,,consumption_volume_million_gallons,energy_category,longitude,latitude
0,Kimberly Mill,54885,WI,Electric Utility,HY,WAT,Conventional Hydroelectric,,,,Renewable Energy Sources,"map/?center=-88.3344,44.2769&level=14",-88.3344,44.2769
1,Kimberly-Clark Solar,62960,GA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-85.034,33&level=14",-85.034,
2,Kincaid Generation LLC,876,IL,IPP Non-CHP,ST,SUB,Conventional Steam Coal,262547,262547,--,Coal,"map/?center=-89.496389,39.590556&level=14",-89.496389,39.590556
3,Kinder Morgan Fordham,62614,NY,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-74.236582,40.542557&level=14",-74.236582,40.542557
4,Kindred School,56242,ND,Commercial Non-CHP,IC,DFO,Petroleum Liquids,,,,Petroleum,"map/?center=-97.00953,46.64974&level=14",-97.00953,46.64974
5,King & Queen,56686,VA,IPP Non-CHP,IC,LFG,Landfill Gas,,,,Renewable Energy Sources,"map/?center=-76.76,37.6711&level=14",-76.76,37.6711
6,King City Peaking,55811,CA,IPP Non-CHP,GT,NG,Natural Gas Fired Combustion Turbine,,,,Natural Gas,"map/?center=-121.124633,36.224758&level=14",-121.124633,36.224758
7,King City Power Plant,10294,CA,IPP CHP,"CA, CT",NG,Natural Gas Fired Combined Cycle,,,,Natural Gas,"map/?center=-121.1278,36.225&level=14",-121.1278,36.225
8,King Cove,7493,AK,Electric Utility,"HY, IC","DFO, OTH, WAT",Multiple,,,,Other,"map/?center=-162.3103,55.061683&level=14",-162.3103,55.061683
9,"King Creek Wind Farm 1, LLC",66321,TX,IPP Non-CHP,WT,WND,Onshore Wind Turbine,,,,Renewable Energy Sources,"map/?center=-99.468,33.268&level=14",-99.468,33.268
10,"King Creek Wind Farm 2, LLC",66323,TX,IPP Non-CHP,WT,WND,Onshore Wind Turbine,,,,Renewable Energy Sources,"map/?center=-99.389888,33.182414&level=14",-99.389888,33.182414
11,King Mill,61000,GA,Industrial Non-CHP,HY,WAT,Conventional Hydroelectric,,,,Renewable Energy Sources,"map/?center=-81.991203,33.485245&level=14",-81.991203,33.485245
12,King Mountain Wind Ranch 1,55581,TX,IPP Non-CHP,WT,WND,Onshore Wind Turbine,,,,Renewable Energy Sources,"map/?center=-102.2417,31.2092&level=14",-102.2417,31.2092
13,King Plains Wind Project,63104,OK,IPP Non-CHP,WT,WND,Onshore Wind Turbine,,,,Renewable Energy Sources,"map/?center=-97.477464,36.400148&level=14",-97.477464,36.400148
14,Kingbird A Solar LLC,59868,CA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-118.432,34.819&level=14",-118.432,34.819
15,"Kingbird B Solar, LLC",60091,CA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-118.438547,34.824206&level=14",-118.438547,34.824206
16,Kingdom Community Wind,57979,VT,Electric Utility,WT,WND,Onshore Wind Turbine,,,,Renewable Energy Sources,"map/?center=-72.425278,44.748333&level=14",-72.425278,44.748333
17,Kingfisher,2986,OK,Electric Utility,IC,DFO,Petroleum Liquids,,,,Petroleum,"map/?center=-97.9277,35.8575&level=14",-97.9277,35.8575
18,Kingfisher Wind LLC,58902,OK,IPP Non-CHP,WT,WND,Onshore Wind Turbine,,,,Renewable Energy Sources,"map/?center=-97.799722,35.770278&level=14",-97.799722,35.770278
19,Kingman 1,57775,AZ,IPP Non-CHP,"PV, WT","SUN, WND",Multiple,,,,Other,"map/?center=-114.0675,35.145833&level=14",-114.0675,35.145833
20,Kingman Municipal Power and Light Plant,1296,KS,Electric Utility,IC,NG,Natural Gas Internal Combustion Engine,,,,Natural Gas,"map/?center=-98.070364,37.38311&level=14",-98.070364,37.38311
21,Kingman Wind,60639,KS,IPP Non-CHP,WT,WND,Onshore Wind Turbine,,,,Renewable Energy Sources,"map/?center=-98.579264,37.586714&level=14",-98.579264,37.586714
22,Kings Bay Solar Facility,59864,GA,Electric Utility,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-81.556238,30.827627&level=14",-81.556238,30.827627
23,Kings Beach,6518,CA,Electric Utility,IC,DFO,Petroleum Liquids,,,,Petroleum,"map/?center=-120.027222,39.245833&level=14",-120.027222,39.245833
24,Kings Falls Hydroelectric,10872,NY,IPP Non-CHP,HY,WAT,Conventional Hydroelectric,,,,Renewable Energy Sources,"map/?center=-75.633822,43.917267&level=14",-75.633822,43.917267
25,Kings Mountain Energy Center,59325,NC,IPP Non-CHP,"CA, CT",NG,Natural Gas Fired Combined Cycle,--,--,640,Natural Gas,"map/?center=-81.363056,35.2025&level=14",-81.363056,35.2025
26,Kings Park Solar I,59880,NY,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-73.249281,40.868294&level=14",-73.249281,40.868294
27,Kings Park Solar II,59881,NY,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-73.249281,40.868294&level=14",-73.249281,40.868294
28,Kings Plaza Total Energy Plant (TEP),63236,NY,Commercial CHP,IC,NG,Natural Gas Internal Combustion Engine,,,,Natural Gas,"map/?center=-73.920008,40.610181&level=14",-73.920008,40.610181
29,Kings Point Wind Energy Center,62475,MO,Electric Utility,WT,WND,Onshore Wind Turbine,,,,Renewable Energy Sources,"map/?center=-94.05271,37.269858&level=14",-94.05271,37.269858
30,Kings River PH,254,CA,Electric Utility,HY,WAT,Conventional Hydroelectric,,,,Renewable Energy Sources,"map/?center=-119.158777,36.888166&level=14",-119.158777,36.888166
31,Kings River Syphon,65033,CA,IPP Non-CHP,HY,WAT,Conventional Hydroelectric,,,,Renewable Energy Sources,"map/?center=-119.441856,36.764491&level=14",-119.441856,36.764491
32,Kingsberry Energy Storage System,61741,TX,Electric Utility,BA,MWH,Batteries,,,,Other,"map/?center=-97.686139,30.266028&level=14",-97.686139,30.266028
33,Kingsbrook Jewish Medical Center,62050,NY,Commercial Non-CHP,IC,DFO,Petroleum Liquids,,,,Petroleum,"map/?center=-73.933752,40.659328&level=14",-73.933752,40.659328
34,Kingsburg Cogen,10405,CA,IPP CHP,"CA, CT",NG,Natural Gas Fired Combined Cycle,,,,Natural Gas,"map/?center=-119.5794,36.5397&level=14",-119.5794,36.5397
35,Kingsburg Solar,58304,CA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-119.540278,36.505278&level=14",-119.540278,36.505278
36,Kingsford,1778,MI,Electric Utility,HY,WAT,Conventional Hydroelectric,,,,Renewable Energy Sources,"map/?center=-88.125121,45.807956&level=14",-88.125121,45.807956
37,Kingsley,785,NE,Electric Utility,HY,WAT,Conventional Hydroelectric,,,,Renewable Energy Sources,"map/?center=-101.6681,41.2114&level=14",-101.6681,41.2114
38,Kingston,3407,TN,Electric Utility,ST,SUB,Conventional Steam Coal,289738,289738,--,Coal,"map/?center=-84.5194,35.8992&level=14",-84.5194,35.8992
39,Kinmundy,55204,IL,Electric Utility,GT,NG,Natural Gas Fired Combustion Turbine,,,,Natural Gas,"map/?center=-89.0128,38.7619&level=14",-89.0128,38.7619
40,Kinneytown New Old,54385,CT,IPP Non-CHP,HY,WAT,Conventional Hydroelectric,,,,Renewable Energy Sources,"map/?center=-73.0856,41.3686&level=14",-73.0856,41.3686
