,plant_name,Plant Code,State,Sector Name,Prime Movers,Fuel Types,Primary Technology,withdrawal_volume_million_gallons,discharge_volume_million_gallons,consumption_volume_million_gallons,energy_category,map_link,longitude,latitude
0,(3K) 59 Hetcheltown Rd,66729,NY,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-73.91048,42.87657&level=14",-73.91048,42.87657
1,0 Hammond St CSG,64876,MA,IPP Non-CHP,"BA, PV","MWH, SUN",Multiple,,,,Other,"map/?center=-70.726675,41.808547&level=14",-70.726675,41.808547
2,1 Commercial,67464,MA,IPP Non-CHP,"BA, PV","MWH, SUN",Multiple,,,,Other,"map/?center=-71.237,42.115&level=14",-71.237,42.115
3,"10 Briggs Solar NG, LLC (East)",62781,RI,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-71.49625,41.63269&level=14",-71.49625,41.63269
4,"10 Finderne Avenue Solar, LLC",64023,NJ,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-74.57594,40.55812&level=14",-74.57594,40.55812
5,100 Brook Hill Drive Solar,63292,NY,Commercial Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-73.9828,41.09305&level=14",-73.9828,41.09305
6,100 Lower,65620,NY,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-74.539,41.294&level=14",-74.539,41.294
7,1001 Ebenezer Church Solar,63444,NC,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-80.843419,36.283819&level=14",-80.843419,36.283819
8,1008 Matthews Solar,63447,NC,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-80.552473,36.21669&level=14",-80.552473,36.21669
9,1009 Yadkin Solar,63445,NC,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-80.656114,36.14749&level=14",-80.656114,36.14749
10,"101 Carnegie Center Solar, LLC",64025,NJ,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-74.64512,40.32312&level=14",-74.64512,40.32312
11,"1025 Traveller Solar, LLC",62660,NC,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-79.126319,35.427308&level=14",-79.126319,35.427308
12,"1034 Catherine Lake Solar, LLC",64478,NC,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-77.498759,34.78471&level=14",-77.498759,34.78471
13,1045 Tomlin Mill Solar,63448,NC,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-80.835488,35.916178&level=14",-80.835488,35.916178
14,"1047 Little Mountain Solar, LLC",62661,NC,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-80.806725,36.197067&level=14",-80.806725,36.197067
15,"1051 Lucky Solar, LLC",64271,NC,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-80.819654,36.148986&level=14",-80.819654,36.148986
16,1073 Onslow Solar,63446,NC,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-77.185771,34.773578&level=14",-77.185771,34.773578
17,115 G Fisher,65092,MA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-70.83984,41.877476&level=14",-70.83984,41.877476
18,12 Applegate Solar LLC,59371,NJ,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-74.576111,40.200278&level=14",-74.576111,40.200278
19,126 Grove Solar LLC,60858,MA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-71.422707,42.076119&level=14",-71.422707,42.076119
20,"13 Mile Solar, LLC",64456,MI,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-85.048584,42.326656&level=14",-85.048584,42.326656
21,145 Talmadge Solar,57458,NJ,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-74.391268,40.535787&level=14",-74.391268,40.535787
22,154 D Fisher,65093,MA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-70.83984,41.87476&level=14",-70.83984,41.87476
23,158th Fighter Wing Solar Farm,60542,VT,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-73.153412,44.477705&level=14",-73.153412,44.477705
24,160 Tihonet Rd Hybrid(CSG),65056,MA,IPP Non-CHP,"BA, PV","MWH, SUN",Multiple,,,,Other,"map/?center=-70.712667,41.793414&level=14",-70.712667,41.793414
25,1634 Solar,61935,SC,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-80.081493,34.3368&level=14",-80.081493,34.3368
26,1639 RT 29 Solar 1,65785,NY,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-74.24935,43.04296&level=14",-74.24935,43.04296
27,1639 RT 29 Solar 2,65786,NY,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-74.24935,43.04296&level=14",-74.24935,43.04296
28,180 Raritan Solar,58187,NJ,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-74.34,40.516111&level=14",-74.34,40.516111
29,191 Peachtree Tower,54818,GA,Commercial Non-CHP,IC,DFO,Petroleum Liquids,,,,Petroleum,"map/?center=-84.3869,33.7583&level=14",-84.3869,33.7583
30,196 Tremont St(CSG),65114,MA,IPP Non-CHP,"BA, PV","MWH, SUN",Multiple,,,,Other,"map/?center=-70.730697,41.842933&level=14",-70.730697,41.842933
31,201 Sturbridge B,59822,MA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-72.171188,42.109143&level=14",-72.171188,42.109143
32,"20333 Normandie PV, LLC",65331,CA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-118.30019,33.84614&level=14",-118.30019,33.84614
33,205 Sturbridge A,59821,MA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-72.170507,42.109272&level=14",-72.170507,42.109272
34,"20701 Plummer PV, LLC",65794,CA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-118.58517,34.243444&level=14",-118.58517,34.243444
35,2081 Terzian Solar Project,58918,CA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-119.415833,36.67&level=14",-119.415833,36.67
36,2097 Helton Solar Project,58920,CA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-120.506944,37.352222&level=14",-120.506944,37.352222
37,2127 Harris Solar Project,58919,CA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-121.669722,39.291667&level=14",-121.669722,39.291667
38,"231 Dixon 74 Solar I, LLC",61195,NC,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-81.430385,35.244125&level=14",-81.430385,35.244125
39,"232 Long Branch 29 Solar I, LLC",63296,NC,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-81.559722,35.23222&level=14",-81.559722,35.23222
40,"233 Randolph 74 Solar I, LLC",65819,NC,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-81.590555,35.311944&level=14",-81.590555,35.311944
41,24 Applegate Solar LLC,59365,NJ,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-74.579722,40.205833&level=14",-74.579722,40.205833
42,"25 Ashdown Road Solar, LLC",62998,NY,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-73.879,42.8826&level=14",-73.879,42.8826
43,25 Mile Creek,65511,OK,IPP Non-CHP,WT,WND,Onshore Wind Turbine,,,,Renewable Energy Sources,"map/?center=-99.739,36.487&level=14",-99.739,36.487
44,2555 E Olympic Bl,57871,CA,Commercial Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-118.224167,34.026944&level=14",-118.224167,34.026944
