,plant_name,Plant Code,State,Sector Name,Prime Movers,Fuel Types,Primary Technology,withdrawal_volume_million_gallons,discharge_volume_million_gallons,consumption_volume_million_gallons,energy_category,map_link,longitude,latitude,GEOID,STATE,COUNTY,TRACT
0,(3K) 59 Hetcheltown Rd,66729,NY,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-73.91048,42.87657&level=14",-73.91048,42.87657,36093032502,36.0,93.0,32502.0
1,0 Hammond St CSG,64876,MA,IPP Non-CHP,"BA, PV","MWH, SUN",Multiple,,,,Other,"map/?center=-70.726675,41.808547&level=14",-70.726675,41.808547,25023544200,25.0,23.0,544200.0
2,1 Commercial,67464,MA,IPP Non-CHP,"BA, PV","MWH, SUN",Multiple,,,,Other,"map/?center=-71.237,42.115&level=14",-71.237,42.115,25021414100,25.0,21.0,414100.0
3,"10 Briggs Solar NG, LLC (East)",62781,RI,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-71.49625,41.63269&level=14",-71.49625,41.63269,44003020903,44.0,3.0,20903.0
4,"10 Finderne Avenue Solar, LLC",64023,NJ,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-74.57594,40.55812&level=14",-74.57594,40.55812,34035051000,34.0,35.0,51000.0
5,100 Brook Hill Drive Solar,63292,NY,Commercial Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-73.9828,41.09305&level=14",-73.9828,41.09305,36087011200,36.0,87.0,11200.0
6,100 Lower,65620,NY,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-74.539,41.294&level=14",-74.539,41.294,36071011702,36.0,71.0,11702.0
7,1001 Ebenezer Church Solar,63444,NC,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-80.843419,36.283819&level=14",-80.843419,36.283819,37171930902,37.0,171.0,930902.0
8,1008 Matthews Solar,63447,NC,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-80.552473,36.21669&level=14",-80.552473,36.21669,37197050101,37.0,197.0,50101.0
9,1009 Yadkin Solar,63445,NC,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-80.656114,36.14749&level=14",-80.656114,36.14749,37197050504,37.0,197.0,50504.0
10,"101 Carnegie Center Solar, LLC",64025,NJ,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-74.64512,40.32312&level=14",-74.64512,40.32312,34021004314,34.0,21.0,4314.0
11,"1025 Traveller Solar, LLC",62660,NC,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-79.126319,35.427308&level=14",-79.126319,35.427308,37105030506,37.0,105.0,30506.0
12,"1034 Catherine Lake Solar, LLC",64478,NC,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-77.498759,34.78471&level=14",-77.498759,34.78471,37133000205,37.0,133.0,205.0
13,1045 Tomlin Mill Solar,63448,NC,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-80.835488,35.916178&level=14",-80.835488,35.916178,37097060802,37.0,97.0,60802.0
14,"1047 Little Mountain Solar, LLC",62661,NC,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-80.806725,36.197067&level=14",-80.806725,36.197067,37197050300,37.0,197.0,50300.0
15,"1051 Lucky Solar, LLC",64271,NC,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-80.819654,36.148986&level=14",-80.819654,36.148986,37197050401,37.0,197.0,50401.0
16,1073 Onslow Solar,63446,NC,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-77.185771,34.773578&level=14",-77.185771,34.773578,37133000103,37.0,133.0,103.0
