STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,GEOID_2020,COUNTY_x,StateDesc,STATEABBR,LOCATION,E_TOTPOP,M_TOTPOP,E_DAYPOP,SPL_EJI,RPL_EJI,SPL_SER,RPL_SER,SPL_EJI_CBM,RPL_EJI_CBM,E_MINRTY,EPL_MINRTY,SPL_SVM_DOM1,RPL_SVM_DOM1,E_POV200,EPL_POV200,E_NOHSDP,EPL_NOHSDP,E_UNEMP,EPL_UNEMP,E_RENTER,EPL_RENTER,E_HOUBDN,EPL_HOUBDN,E_UNINSUR,EPL_UNINSUR,E_NOINT,EPL_NOINT,SPL_SVM_DOM2,RPL_SVM_DOM2,E_AGE65,EPL_AGE65,E_AGE17,EPL_AGE17,E_DISABL,EPL_DISABL,E_LIMENG,EPL_LIMENG,SPL_SVM_DOM3,RPL_SVM_DOM3,E_MOBILE,EPL_MOBILE,E_GROUPQ,EPL_GROUPQ,SPL_SVM_DOM4,RPL_SVM_DOM4,SPL_SVM,RPL_SVM,E_OZONE,EPL_OZONE,E_PM,EPL_PM,E_DSLPM,EPL_DSLPM,E_TOTCR,EPL_TOTCR,SPL_EBM_DOM1,RPL_EBM_DOM1,E_NPL,EPL_NPL,E_TRI,EPL_TRI,E_TSD,EPL_TSD,E_RMP,EPL_RMP,E_COAL,EPL_COAL,E_LEAD,EPL_LEAD,SPL_EBM_DOM2,RPL_EBM_DOM2,E_PARK,EPL_PARK,E_HOUAGE,EPL_HOUAGE,E_WLKIND,EPL_WLKIND,SPL_EBM_DOM3,RPL_EBM_DOM3,E_RAIL,EPL_RAIL,E_ROAD,EPL_ROAD,E_AIRPRT,EPL_AIRPRT,SPL_EBM_DOM4,RPL_EBM_DOM4,E_IMPWTR,EPL_IMPWTR,F_IMPWTR,SPL_EBM_DOM5,RPL_EBM_DOM5,SPL_EBM,RPL_EBM,E_ASTHMA,EPL_ASTHMA,F_ASTHMA,E_CANCER,EPL_CANCER,F_CANCER,E_CHD,EPL_CHD,F_CHD,E_MHLTH,EPL_MHLTH,F_MHLTH,E_DIABETES,EPL_DIABETES,F_DIABETES,F_HVM,RPL_HVM,E_NEHD,EPL_NEHD,SPL_CBM_DOM1,RPL_CBM_DOM1,E_BURN,EPL_BURN,E_SMOKE,EPL_SMOKE,SPL_CBM_DOM2,RPL_CBM_DOM2,E_CFLD,EPL_CFLD,F_CFLD,E_DRGT,EPL_DRGT,F_DRGT,E_HRCN,EPL_HRCN,F_HRCN,E_RFLD,EPL_RFLD,F_RFLD,E_SWND,EPL_SWND,F_SWND,E_TRND,EPL_TRND,F_TRND,SPL_CBM_DOM3,RPL_CBM_DOM3,SPL_CBM,RPL_CBM,AFAM,E_AFAM,HISP,E_HISP,ASIAN,E_ASIAN,AIAN,E_AIAN,NHPI,E_NHPI,TWOMORE,E_TWOMORE,OTHERRACE,E_OTHERRACE,Tribe_PCT_Tract,Tribe_Names,Tribe_Flag,Unnamed: 0.1,Unnamed: 0,plant_name,Plant Code,State,Sector Name,Prime Movers,Fuel Types,Primary Technology,withdrawal_volume_million_gallons,discharge_volume_million_gallons,consumption_volume_million_gallons,energy_category,map_link,longitude,latitude,STATE,COUNTY_y,TRACT,contains_energy_source,Technology_Category,Category_Number,fossil_fuels,renewables,energy_category_numeric,Power Plant,Owner,Description,Latitude,Longitude,IntPtLat,IntPtLon,proposed_location,Band,distance_to_plant,num_energy_sources,plant_names,within_1_km,within_5_km,within_10_km,within_20_km
24.0,1.0,200.0,140000US24001000200,24001000200.0,24001000200.0,Allegany County,Maryland,MD,Census Tract 2; Allegany County; Maryland,4052.0,298.0,5249.0,2.1051,0.8807,1.5051,0.8397,2.7195,0.9092,25.1,0.4072,0.4072,0.4072,30.451,0.5537,15.2,0.7423,1.9,0.158,13.8,0.1975,20.9,0.38,7.9,0.5666,27.4,0.9295,3.5276,0.509,19.8,0.681,12.3,0.092,25.1,0.9506,1.3,0.5095,2.2331,0.7007,8.3,0.7648,27.3,0.9791,1.7439,0.9741,7.9118,0.6944,0.0,0.0,0.0,0.0,0.1313,0.2516,20.0,0.0434,0.295,0.0643,4.477,0.9438,8.8918,0.4592,3.4302,0.5013,5.8002,0.7489,0.0,0.0,0.0,0.0,2.6532,0.9445,68.9533,0.7258,67.6,0.6361,4.1111,0.941,2.3029,0.951,25.3036,0.5042,21.3552,0.2353,5.219,0.8796,1.6191,0.9027,0.715,0.6396,0.0,0.6396,0.6396,7.5098,0.8107,11.3,0.7042,1.0,8.1,0.5031,0.0,8.1,0.7008,1.0,17.8,0.6015,0.0,14.6,0.7597,1.0,3.0,0.6,14.0,0.596,0.596,0.596,0.0,0.0,6.7,0.3258,0.3258,0.3229,0.0,0.0,1.0,1.2727,0.0617,9.0,0.0238,0.4072,9.0,1.9167,0.4929,9.0,2.6413,0.5703,9.0,0.0556,0.5198,9.0,2.0519,0.6241,2.9737,0.6144,779.0,19.2,99.0,2.4,18.0,0.4,9.0,0.2,0.0,0.0,111.0,2.7,0.0,0.0,0.0,-999,,140.0,140.0,AES Warrior Run Cogeneration Facility,10678.0,MD,IPP CHP,ST,BIT,Conventional Steam Coal,336.0,37.0,305.0,Coal,"map/?center=-78.745333,39.595171&level=14",-78.745333,39.595171,24.0,1.0,200.0,1,Coal,8,1,0,4.0,Warrior Run,AES Warrior Run Ltd. Partnership,"180 MW, coal fired steam boiler, closed June of 2024",39.59739767,-78.74446523,39.618401,-78.72055,1,1,0.0,4,"AES Warrior Run Cogeneration Facility, AES Warrior Run Energy Storage Project",1,1,1,1
24.0,1.0,600.0,140000US24001000600,24001000600.0,24001000600.0,Allegany County,Maryland,MD,Census Tract 6; Allegany County; Maryland,3005.0,329.0,3111.0,2.2956,0.9329,1.2956,0.7258,2.5176,0.8448,9.4,0.1507,0.1507,0.1507,36.701,0.6713,6.9,0.4083,4.1,0.4402,29.5,0.4961,21.5,0.4021,0.6,0.024,13.8,0.6386,3.0806,0.4041,21.7,0.7628,23.6,0.6261,17.4,0.7635,0.0,0.0,2.1524,0.6383,0.0,0.0,3.3,0.8553,0.8553,0.5328,6.239,0.4045,0.0,0.0,0.0,0.0,0.1668,0.3555,20.0,0.0434,0.3989,0.0819,37.0676,0.9744,26.9617,0.5716,46.15,0.6883,9.1116,0.7758,0.0,0.0,0.0,0.0,3.0101,0.9757,100.0,0.5514,93.4,0.9402,8.9306,0.4892,1.9808,0.7872,92.7165,0.7573,40.36,0.3232,12.1535,0.9084,1.9889,0.9434,0.867,0.7266,0.0,0.7266,0.7266,8.1053,0.8911,12.5,0.9009,1.0,10.5,0.8548,1.0,9.3,0.8516,1.0,19.2,0.7423,1.0,14.9,0.7811,1.0,5.0,1.0,13.8,0.5851,0.5851,0.5851,0.0,0.0,6.4,0.3039,0.3039,0.3013,0.0,0.0,1.0,0.0,0.0,0.0,0.0234,0.367,9.0,1.9167,0.4929,9.0,2.6143,0.5666,9.0,0.0,0.0,0.0,1.4265,0.3213,2.3155,0.222,47.0,1.6,21.0,0.7,0.0,0.0,13.0,0.4,0.0,0.0,192.0,6.4,10.0,0.3,0.0,-999,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0.0,,,,,,39.640535,-78.749768,0,2,4.82428604189012,0,,0,1,1,1
24.0,1.0,700.0,140000US24001000700,24001000700.0,24001000700.0,Allegany County,Maryland,MD,Census Tract 7; Allegany County; Maryland,3233.0,415.0,2685.0,2.7291,0.9977,1.7291,0.9356,2.7689,0.9225,6.6,0.091,0.091,0.091,57.88,0.9159,12.6,0.6662,10.6,0.8857,51.2,0.7581,38.4,0.8296,2.9,0.1885,21.4,0.8514,5.0954,0.8438,20.0,0.69,26.0,0.7586,21.2,0.886,0.3,0.2859,2.6205,0.9146,1.0,0.5434,0.4,0.5495,1.0929,0.7097,8.8998,0.8366,0.0,0.0,0.0,0.0,0.2227,0.5109,20.0,0.0434,0.5543,0.1128,2.2488,0.9371,93.5979,0.8104,66.5932,0.7388,99.7102,0.9782,0.0,0.0,0.0,0.0,3.4645,0.9889,100.0,0.5514,84.4,0.8327,17.0833,0.015,1.3991,0.2604,100.0,0.8112,26.9699,0.2643,88.8211,0.9836,2.0591,0.9509,0.718,0.6414,0.0,0.6414,0.6414,8.1184,0.8925,13.7,0.9684,1.0,10.1,0.8054,1.0,10.2,0.9218,1.0,21.7,0.9018,1.0,16.5,0.8676,1.0,5.0,1.0,13.8,0.5851,0.5851,0.5851,0.0,0.0,6.4,0.3039,0.3039,0.3013,0.0,0.0,1.0,0.0,0.0,0.0,0.0234,0.367,9.0,0.0,0.0,0.0,2.6143,0.5666,9.0,0.0,0.0,0.0,0.9336,0.1031,1.8226,0.0398,57.0,1.8,17.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,132.0,4.1,6.0,0.2,0.0,-999,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0.0,,,,,,39.634989,-78.755822,0,2,4.358901336054075,0,,0,1,1,1
24.0,1.0,800.0,140000US24001000800,24001000800.0,24001000800.0,Allegany County,Maryland,MD,Census Tract 8; Allegany County; Maryland,1932.0,285.0,1776.0,2.405,0.957,1.605,0.886,2.6307,0.8829,11.1,0.1838,0.1838,0.1838,60.9553,0.9345,13.8,0.7031,11.0,0.8961,52.2,0.7679,52.2,0.9617,9.0,0.6252,12.2,0.5741,5.4626,0.9005,12.7,0.3003,21.6,0.497,22.8,0.9181,0.0,0.0,1.7154,0.2806,0.0,0.0,0.1,0.3697,0.3697,0.1668,7.7315,0.6641,0.0,0.0,0.0,0.0,0.2106,0.4796,30.0,0.4976,0.9772,0.2956,0.5968,0.9292,94.7036,0.815,96.3293,0.8164,70.6909,0.934,0.0,0.0,0.0,0.0,3.4946,0.9899,100.0,0.5514,88.4,0.8808,16.5,0.0278,1.46,0.3152,100.0,0.8112,28.3341,0.2708,72.2431,0.9755,2.0575,0.9508,0.703,0.6335,0.0,0.6335,0.6335,8.6228,0.9409,13.7,0.9684,1.0,8.6,0.5721,0.0,9.7,0.8872,1.0,23.1,0.946,1.0,16.7,0.8759,1.0,4.0,0.8,13.8,0.5851,0.5851,0.5851,0.0,0.0,6.5,0.3111,0.3111,0.3084,0.0,0.0,1.0,0.0,0.0,0.0,0.0234,0.367,9.0,1.9167,0.4929,9.0,2.6143,0.5666,9.0,0.0,0.0,0.0,1.4265,0.3213,2.3227,0.2257,24.0,1.2,123.0,6.4,17.0,0.9,0.0,0.0,0.0,0.0,51.0,2.6,0.0,0.0,0.0,-999,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0.0,,,,,,39.631465,-78.765327,0,2,4.434163698087342,0,,0,1,1,1
24.0,1.0,2200.0,140000US24001002200,24001002200.0,24001002200.0,Allegany County,Maryland,MD,Census Tract 22; Allegany County; Maryland,3805.0,553.0,2485.0,2.0905,0.8761,1.0905,0.5898,2.3082,0.7599,2.4,0.0152,0.0152,0.0152,41.1875,0.743,7.1,0.4202,4.9,0.5324,17.9,0.284,17.2,0.2447,4.5,0.327,15.1,0.6859,3.2372,0.4407,20.8,0.7271,22.7,0.569,18.8,0.8174,0.0,0.0,2.1135,0.6056,0.8,0.524,2.3,0.8043,1.3283,0.7983,6.6942,0.484,0.0,0.0,0.0,0.0,0.0819,0.1007,20.0,0.0434,0.1441,0.0346,0.0,0.0,18.1489,0.5249,0.1491,0.4398,2.7161,0.7092,16.6255,0.9972,0.0,0.0,2.6711,0.9507,89.5014,0.6502,82.4,0.8078,7.2222,0.643,2.101,0.8611,47.5869,0.599,31.0912,0.2835,0.0,0.0,0.8825,0.4082,0.613,0.5798,0.0,0.5798,0.5798,6.3785,0.6065,12.2,0.8686,1.0,10.7,0.8753,1.0,9.6,0.8788,1.0,18.7,0.6959,1.0,14.8,0.7743,1.0,5.0,1.0,13.0,0.5373,0.5373,0.5373,0.0,0.0,6.5,0.3111,0.3111,0.3084,0.0,0.0,1.0,0.0,0.0,0.0,0.0274,0.4132,9.0,1.9167,0.4929,9.0,2.4595,0.5521,9.0,0.0,0.0,0.0,1.4582,0.3299,2.3066,0.2177,14.0,0.4,60.0,1.6,11.0,0.3,0.0,0.0,0.0,0.0,7.0,0.2,0.0,0.0,0.0,-999,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0.0,Luke Mill,New Page Corp,"~60 MW, 2 coal fired steam boilers, Closed 2019",39.47407202,-79.05582743,39.483476,-79.021106,1,1,0.0,0,,1,1,1,1
24.0,3.0,730101.0,140000US24003730101,24003730101.0,24003730101.0,Anne Arundel County,Maryland,MD,Census Tract 7301.01; Anne Arundel County; Maryland,2114.0,317.0,551.0,0.6925,0.1568,0.6925,0.272,1.6561,0.4138,5.5,0.068,0.068,0.068,7.1901,0.0562,11.5,0.6268,0.1,0.0276,1.8,0.0104,6.3,0.0137,0.9,0.0391,2.1,0.0789,0.8527,0.024,25.4,0.8714,15.5,0.1729,10.6,0.3534,1.6,0.5499,1.9476,0.4607,0.0,0.0,0.3,0.5046,0.5046,0.2494,3.3729,0.043,1.278,0.8855,0.137,0.7228,0.2896,0.6628,30.0,0.4976,2.7687,0.8938,0.0,0.0,0.0,0.0,85.2966,0.7826,7.2992,0.7625,0.0,0.0,0.0,0.0,1.5451,0.6406,100.0,0.5514,34.9,0.2834,9.7222,0.4384,1.2732,0.1684,0.0,0.0,26.9341,0.2641,0.0,0.0,0.2641,0.0858,0.88,0.7375,0.0,0.7375,0.7375,6.5886,0.6495,11.0,0.6239,0.0,9.0,0.632,0.0,6.9,0.5003,0.0,16.2,0.4106,0.0,11.0,0.3739,0.0,0.0,0.0,9.2,0.2303,0.2303,0.2303,0.0,0.0,6.4,0.3039,0.3039,0.3013,3.685,0.7265,9.0,5.7273,0.3153,9.0,0.1187,0.6897,9.0,3.75,0.8048,9.0,8.8109,0.9953,9.0,0.0,0.0,0.0,3.5316,0.9909,4.0658,0.9636,51.0,2.4,58.0,2.7,8.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0.0,,,,,,39.153601,-76.553812,0,2,3.4684825641805346,0,,0,1,1,1
24.0,3.0,730102.0,140000US24003730102,24003730102.0,24003730102.0,Anne Arundel County,Maryland,MD,Census Tract 7301.02; Anne Arundel County; Maryland,11619.0,1218.0,8472.0,1.2631,0.4913,1.0631,0.5687,2.2293,0.7246,48.9,0.6539,0.6539,0.6539,10.4414,0.1166,3.6,0.1965,4.6,0.4996,22.7,0.3805,12.3,0.0964,3.8,0.267,2.2,0.0833,1.6399,0.1154,5.2,0.04,23.1,0.5938,7.3,0.1362,1.4,0.5234,1.2934,0.0928,0.0,0.0,0.2,0.443,0.443,0.2021,4.0302,0.0958,1.278,0.8855,0.137,0.7228,0.2896,0.6628,30.0,0.4976,2.7687,0.8938,13.1976,0.9571,65.6305,0.7131,96.294,0.8162,50.0139,0.8999,0.0,0.0,0.0,0.0,3.3863,0.986,99.9281,0.5595,9.9,0.0921,9.7222,0.4384,1.09,0.0762,57.7321,0.6348,71.3579,0.4401,0.0,0.0,1.0749,0.5026,0.906,0.7555,0.0,0.7555,0.7555,9.0754,0.9673,11.2,0.6788,1.0,5.2,0.1641,0.0,3.6,0.0378,0.0,17.8,0.6015,0.0,7.6,0.0626,0.0,1.0,0.2,9.2,0.2303,0.2303,0.2303,0.0,0.0,6.4,0.3039,0.3039,0.3013,3.687,0.7374,9.0,6.0455,0.3257,9.0,0.1249,0.6949,9.0,3.75,0.8048,9.0,9.2724,0.9958,9.0,0.0,0.0,0.0,3.5586,0.9923,4.0928,0.9662,3081.0,26.5,1065.0,9.2,730.0,6.3,0.0,0.0,0.0,0.0,804.0,6.9,0.0,0.0,0.0,-999,,1403.0,1403.0,Brandon Shores,602.0,MD,IPP Non-CHP,ST,BIT,Conventional Steam Coal,691.0,399.0,292.0,Coal,"map/?center=-76.537151,39.182073&level=14",-76.537151,39.182073,24.0,3.0,730102.0,1,Coal,8,1,0,4.0,Brandon Shores,Talen Energy (Raven Power Holdings LLC),"1,273 MW, 2 units, coal and steam boilers, scheduled closure 2029",39.17974997,-76.53670518,39.172241,-76.553787,1,1,0.0,16,"Brandon Shores, Herbert A Wagner",1,1,1,1
24.0,3.0,731308.0,140000US24003731308,24003731308.0,24003731308.0,Anne Arundel County,Maryland,MD,Census Tract 7313.08; Anne Arundel County; Maryland,4194.0,688.0,1577.0,1.0978,0.3903,0.8978,0.4343,2.0714,0.6458,12.4,0.2078,0.2078,0.2078,17.7608,0.2767,7.5,0.4425,3.1,0.3112,14.3,0.208,23.3,0.4652,4.0,0.2851,8.6,0.4105,2.3992,0.2542,15.2,0.4354,16.5,0.2103,16.1,0.7035,1.0,0.46,1.8092,0.3477,0.0,0.0,0.1,0.3697,0.3697,0.1668,4.7859,0.1828,1.37,0.9028,0.091,0.5886,0.2697,0.6209,30.0,0.4976,2.6099,0.8624,0.0,0.0,0.0,0.0,5.8383,0.5255,5.7924,0.7488,0.0,0.0,0.0,0.0,1.2743,0.5312,100.0,0.5514,85.7,0.8481,12.0833,0.3073,1.7068,0.5678,0.0,0.0,100.0,0.6136,0.0,0.0,0.6136,0.2271,0.879,0.7367,0.0,0.7367,0.7367,6.9413,0.715,11.0,0.6239,0.0,9.3,0.6799,1.0,6.9,0.5003,0.0,17.0,0.5075,0.0,10.4,0.2975,0.0,1.0,0.2,9.2,0.2303,0.2303,0.2303,0.0,0.0,6.4,0.3039,0.3039,0.3013,3.685,0.7265,9.0,5.7273,0.3153,9.0,0.1804,0.808,9.0,3.75,0.8048,9.0,13.3951,0.9983,9.0,0.0,0.0,0.0,3.6529,0.9952,4.1871,0.9736,108.0,2.6,178.0,4.2,7.0,0.2,0.0,0.0,0.0,0.0,171.0,4.1,58.0,1.4,0.0,-999,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0.0,,,,,,39.163592,-76.510376,0,2,2.4359074897552335,0,,0,1,1,1
24.0,3.0,731309.0,140000US24003731309,24003731309.0,24003731309.0,Anne Arundel County,Maryland,MD,Census Tract 7313.09; Anne Arundel County; Maryland,5177.0,693.0,2430.0,1.1797,0.441,0.9797,0.5007,2.1457,0.6841,20.4,0.3385,0.3385,0.3385,15.028,0.2166,7.7,0.4532,7.2,0.7346,21.6,0.3591,13.9,0.1376,8.1,0.5789,4.8,0.2131,2.6931,0.3163,11.8,0.2542,20.4,0.4225,16.8,0.7369,0.3,0.2859,1.6995,0.2698,0.6,0.498,0.1,0.3697,0.8677,0.5437,5.5988,0.3009,1.278,0.8855,0.091,0.5886,0.2711,0.6236,30.0,0.4976,2.5953,0.8602,0.0,0.0,0.0,0.0,83.6151,0.7789,0.1646,0.6485,0.0,0.0,0.0,0.0,1.4274,0.589,100.0,0.5514,45.3,0.3876,9.8611,0.4302,1.3692,0.2354,0.0,0.0,100.0,0.6136,0.0,0.0,0.6136,0.2271,0.879,0.7367,0.0,0.7367,0.7367,6.7422,0.6788,11.2,0.6788,1.0,8.3,0.5302,0.0,5.9,0.3064,0.0,16.8,0.484,0.0,9.6,0.2057,0.0,1.0,0.2,9.2,0.2303,0.2303,0.2303,0.0,0.0,6.4,0.3039,0.3039,0.3013,3.687,0.7374,9.0,5.7273,0.3153,9.0,0.1287,0.7038,9.0,3.75,0.8048,9.0,9.5603,0.996,9.0,0.0,0.0,0.0,3.5573,0.9922,4.0915,0.966,374.0,7.2,113.0,2.2,231.0,4.5,0.0,0.0,0.0,0.0,105.0,2.0,233.0,4.5,0.0,-999,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0.0,,,,,,39.152702,-76.520749,0,2,2.9479858806370274,0,,0,1,1,1
24.0,3.0,731310.0,140000US24003731310,24003731310.0,24003731310.0,Anne Arundel County,Maryland,MD,Census Tract 7313.10; Anne Arundel County; Maryland,5012.0,717.0,3720.0,0.9493,0.2976,0.7493,0.3148,1.9094,0.5588,15.9,0.2681,0.2681,0.2681,14.1859,0.1976,8.3,0.4844,1.2,0.086,9.3,0.107,17.6,0.2591,2.9,0.1885,4.3,0.1864,1.509,0.096,14.0,0.3689,21.6,0.497,14.7,0.6274,0.5,0.3503,1.8436,0.3749,0.3,0.4677,0.2,0.443,0.9107,0.5841,4.5314,0.1515,1.278,0.8855,0.091,0.5886,0.2663,0.6135,30.0,0.4976,2.5852,0.8588,0.0,0.0,0.0,0.0,95.5286,0.8133,0.0,0.0,0.0,0.0,0.0,0.0,0.8133,0.3565,100.0,0.5514,53.1,0.4723,7.1111,0.6552,1.6789,0.5408,0.0,0.0,91.3795,0.5241,0.0,0.0,0.5241,0.1781,0.879,0.7367,0.0,0.7367,0.7367,6.3382,0.5978,11.2,0.6788,1.0,8.1,0.5031,0.0,5.9,0.3064,0.0,16.9,0.4965,0.0,9.7,0.2165,0.0,1.0,0.2,9.2,0.2303,0.2303,0.2303,0.0,0.0,6.4,0.3039,0.3039,0.3013,3.685,0.7265,9.0,5.7273,0.3153,9.0,0.1052,0.6608,9.0,3.75,0.8048,9.0,7.8113,0.9807,9.0,0.0,0.0,0.0,3.4881,0.9895,4.0223,0.9601,420.0,8.4,134.0,2.7,96.0,1.9,13.0,0.3,0.0,0.0,135.0,2.7,0.0,0.0,0.0,-999,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0.0,,,,,,39.143609,-76.535917,0,2,4.0126015469849,0,,0,1,1,1
